Noun_plural_form_from_corpus,Plural_form_errors_in_count_context_from_corpus,Type,Condition_label,Intervening_noun_base_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Numeral,Condition_beginning,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Final_sentence,Target_noun_after_final_sentence,File_prefix_of_all_audio_files,All_audio_files_original_name,,Path_of_audio_files_final_name,Output_audio_file_partial_filename,Number_of_words_in_condition
,,filler2,A,фермерка,f,sg,m,pl,Във фермата живееха,,отгледаните,овен,овни,овена,овени,B,Във фермата живееха отгледаните,овен,Fillers2,STE-046_mono.wav,,Fillers2/mono/STE-046_mono.wav,filler2_A_овен__B,1
,,filler2,APN,фермерка,f,sg,m,pl,Във фермата живееха,,отгледаните от фермерката,овен,овни,овена,,C,Във фермата живееха отгледаните от фермерката,овен,Fillers2,STE-047_mono.wav,,Fillers2/mono/STE-047_mono.wav,filler2_APN_овен__C,3
,,filler2,APAdvAN,фермерка,f,sg,m,pl,Във фермата живееха,,отгледаните от много старата фермерка,овен,овни,овена,,A,Във фермата живееха отгледаните от много старата фермерка,овен,Fillers2,STE-048_mono.wav,,Fillers2/mono/STE-048_mono.wav,filler2_APAdvAN_овен__A,5
,,filler2,A,шивачка,f,sg,m,pl,Бързо се купуваха,,разкроените,панталон,панталони,панталона,,A,Бързо се купуваха разкроените,панталон,Fillers2,STE-049_mono.wav,,Fillers2/mono/STE-049_mono.wav,filler2_A_панталон__A,1
,,filler2,APN,шивачка,f,sg,m,pl,Бързо се купуваха,,разкроените от шивачката,панталон,панталони,панталона,,B,Бързо се купуваха разкроените от шивачката,панталон,Fillers2,STE-050_mono.wav,,Fillers2/mono/STE-050_mono.wav,filler2_APN_панталон__B,3
,,filler2,APAdvAN,шивачка,f,sg,m,pl,Бързо се купуваха,,разкроените от много опитната шивачка,панталон,панталони,панталона,,C,Бързо се купуваха разкроените от много опитната шивачка,панталон,Fillers2,STE-051_mono.wav,,Fillers2/mono/STE-051_mono.wav,filler2_APAdvAN_панталон__C,5
,,filler2,A,домакиня,f,sg,m,pl,Тази сутрин бяха подредени,,почистените,гардероб,гардероби,гардероба,,C,Тази сутрин бяха подредени почистените,гардероб,Fillers2,STE-052_mono.wav,,Fillers2/mono/STE-052_mono.wav,filler2_A_гардероб__C,1
,,filler2,APN,домакиня,f,sg,m,pl,Тази сутрин бяха подредени,,почистените от домакинята,гардероб,гардероби,гардероба,,A,Тази сутрин бяха подредени почистените от домакинята,гардероб,Fillers2,STE-053_mono.wav,,Fillers2/mono/STE-053_mono.wav,filler2_APN_гардероб__A,3
,,filler2,APAdvAN,домакиня,f,sg,m,pl,Тази сутрин бяха подредени,,почистените от много добрата домакиня,гардероб,гардероби,гардероба,,B,Тази сутрин бяха подредени почистените от много добрата домакиня,гардероб,Fillers2,STE-054_mono.wav,,Fillers2/mono/STE-054_mono.wav,filler2_APAdvAN_гардероб__B,5
,,filler2,A,фирма,f,sg,m,pl,На стената висяха,,дарените портрети,портрет,портрети,портрета,,B,На стената висяха дарените портрети,портрет,Fillers2,STE-055_mono.wav,,Fillers2/mono/STE-055_mono.wav,filler2_A_портрет__B,2
,,filler2,APN,фирма,f,sg,m,pl,На стената висяха,,дарените от фирмата,портрет,портрети,портрета,,C,На стената висяха дарените от фирмата,портрет,Fillers2,STE-056_mono.wav,,Fillers2/mono/STE-056_mono.wav,filler2_APN_портрет__C,3
,,filler2,APAdvAN,фирма,f,sg,m,pl,На стената висяха,,дарените от много известната фирма,портрет,портрети,портрета,,A,На стената висяха дарените от много известната фирма,портрет,Fillers2,STE-057_mono.wav,,Fillers2/mono/STE-057_mono.wav,filler2_APAdvAN_портрет__A,5
,,filler2,A,мома,f,sg,m,pl,На площада се развяваха,,ушитите,байрак,байраци,байрака,,A,На площада се развяваха ушитите,байрак,Fillers2,STE-058_mono.wav,,Fillers2/mono/STE-058_mono.wav,filler2_A_байрак__A,1
,,filler2,APN,мома,f,sg,m,pl,На площада се развяваха,,ушитите от вдовицата,байрак,байраци,байрака,,B,На площада се развяваха ушитите от вдовицата,байрак,Fillers2,STE-059_mono.wav,,Fillers2/mono/STE-059_mono.wav,filler2_APN_байрак__B,3
,,filler2,APAdvAN,мома,f,sg,m,pl,На площада се развяваха,,ушитите от много смелата вдовица,байрак,байраци,байрака,,C,На площада се развяваха ушитите от много смелата вдовица,байрак,Fillers2,STE-060_mono.wav,,Fillers2/mono/STE-060_mono.wav,filler2_APAdvAN_байрак__C,5
,,filler2,A,стопанка,f,sg,m,pl,На дивана лежаха,,обучените,далматинец,далматинци,далматинеца,,C,На дивана лежаха обучените,далматинец,Fillers2,STE-061_mono.wav,,Fillers2/mono/STE-061_mono.wav,filler2_A_далматинец__C,1
,,filler2,APN,стопанка,f,sg,m,pl,На дивана лежаха,,обучените от стопанката,далматинец,далматинци,далматинеца,,A,На дивана лежаха обучените от стопанката,далматинец,Fillers2,STE-062_mono.wav,,Fillers2/mono/STE-062_mono.wav,filler2_APN_далматинец__A,3
,,filler2,APAdvAN,стопанка,f,sg,m,pl,На дивана лежаха,,обучените от много добрата стопанка,далматинец,далматинци,далматинеца,,B,На дивана лежаха обучените от много добрата стопанка,далматинец,Fillers2,STE-063_mono.wav,,Fillers2/mono/STE-063_mono.wav,filler2_APAdvAN_далматинец__B,5
,,filler2,A,реставраторка,f,sg,m,pl,Преди дни бяха отворени,,реставрираните,дворец,дворци,двореца,,B,Преди дни бяха отворени реставрираните,дворец,Fillers2,STE-064_mono.wav,,Fillers2/mono/STE-064_mono.wav,filler2_A_дворец__B,1
,,filler2,APN,реставраторка,f,sg,m,pl,Преди дни бяха отворени,,реставрираните от реставраторката,дворец,дворци,двореца,,C,Преди дни бяха отворени реставрираните от реставраторката,дворец,Fillers2,STE-065_mono.wav,,Fillers2/mono/STE-065_mono.wav,filler2_APN_дворец__C,3
,,filler2,APAdvAN,реставраторка,f,sg,m,pl,Преди дни бяха отворени,,реставрираните от много известната реставраторка,дворец,дворци,двореца,,A,Преди дни бяха отворени реставрираните от много известната реставраторка,дворец,Fillers2,STE-066_mono.wav,,Fillers2/mono/STE-066_mono.wav,filler2_APAdvAN_дворец__A,5
,,filler3,A,дъжд,m,sg,f,pl,В пералнята се перяха,,намокрените,рокля,рокли,рокли,,A,В пералнята се перяха намокрените,рокля,Fillers3,STE-001_mono.wav,,Fillers3/mono/STE-001_mono.wav,filler3_A_рокля__A,1
,,filler3,APN,дъжд,m,sg,f,pl,В пералнята се перяха,,намокрените от дъжда,рокля,рокли,рокли,,B,В пералнята се перяха намокрените от дъжда,рокля,Fillers3,STE-002_mono.wav,,Fillers3/mono/STE-002_mono.wav,filler3_APN_рокля__B,3
,,filler3,APAdvAN,дъжд,m,sg,f,pl,В пералнята се перяха,,намокрените от много силния дъжд,рокля,рокли,рокли,,C,В пералнята се перяха намокрените от много силния дъжд,рокля,Fillers3,STE-003_mono.wav,,Fillers3/mono/STE-003_mono.wav,filler3_APAdvAN_рокля__C,5
,,filler3,A,фотоапарат,m,sg,f,pl,От чекмеджето се подаваха,,направените,снимка,снимки,снимки,,C,От чекмеджето се подаваха направените,снимка,Fillers3,STE-004_mono.wav,,Fillers3/mono/STE-004_mono.wav,filler3_A_снимка__C,1
,,filler3,APN,фотоапарат,m,sg,f,pl,От чекмеджето се подаваха,,направените с фотоапарата,снимка,снимки,снимки,,A,От чекмеджето се подаваха направените с фотоапарата,снимка,Fillers3,STE-005_mono.wav,,Fillers3/mono/STE-005_mono.wav,filler3_APN_снимка__A,3
,,filler3,APAdvAN,фотоапарат,m,sg,f,pl,От чекмеджето се подаваха,,направените с много скъпия фотоапарат,снимка,снимки,снимки,,B,От чекмеджето се подаваха направените с много скъпия фотоапарат,снимка,Fillers3,STE-006_mono.wav,,Fillers3/mono/STE-006_mono.wav,filler3_APAdvAN_снимка__B,5
,,filler3,A,зоомагазин,m,sg,f,pl,В градината се криеха,,избягалите,котка,котки,котки,,B,В градината се криеха избягалите,котка,Fillers3,STE-007_mono.wav,,Fillers3/mono/STE-007_mono.wav,filler3_A_котка__B,1
,,filler3,APN,зоомагазин,m,sg,f,pl,В градината се криеха,,избягалите от зоомагазина,котка,котки,котки,,C,В градината се криеха избягалите от зоомагазина,котка,Fillers3,STE-008_mono.wav,,Fillers3/mono/STE-008_mono.wav,filler3_APN_котка__C,3
,,filler3,APAdvAN,зоомагазин,m,sg,f,pl,В градината се криеха,,избягалите от много близкия зоомагазин,котка,котки,котки,,A,В градината се криеха избягалите от много близкия зоомагазин,котка,Fillers3,STE-009_mono.wav,,Fillers3/mono/STE-009_mono.wav,filler3_APAdvAN_котка__A,5
,,filler3,A,хладилник,m,sg,f,pl,За вечеря бяха приготвени,,замразените,пъстърва,пъстърви,пъстърви,,A,За вечеря бяха приготвени замразените,пъстърва,Fillers3,STE-010_mono.wav,,Fillers3/mono/STE-010_mono.wav,filler3_A_пъстърва__A,1
,,filler3,APN,хладилник,m,sg,f,pl,За вечеря бяха приготвени,,замразените в хладилника,пъстърва,пъстърви,пъстърви,,B,За вечеря бяха приготвени замразените в хладилника,пъстърва,Fillers3,STE-011_mono.wav,,Fillers3/mono/STE-011_mono.wav,filler3_APN_пъстърва__B,3
,,filler3,APAdvAN,хладилник,m,sg,f,pl,За вечеря бяха приготвени,,замразените в много големия хладилник,пъстърва,пъстърви,пъстърви,,C,За вечеря бяха приготвени замразените в много големия хладилник,пъстърва,Fillers3,STE-012_mono.wav,,Fillers3/mono/STE-012_mono.wav,filler3_APAdvAN_пъстърва__C,5
,,filler3,A,съдия,m,sg,f,pl,В затвора бяха изпратени,,осъдените,терористка,терористки,терористки,,C,В затвора бяха изпратени осъдените,терористка,Fillers3,STE-013_mono.wav,,Fillers3/mono/STE-013_mono.wav,filler3_A_терористка__C,1
,,filler3,APN,съдия,m,sg,f,pl,В затвора бяха изпратени,,осъдените от съдията,терористка,терористки,терористки,,A,В затвора бяха изпратени осъдените от съдията,терористка,Fillers3,STE-014_mono.wav,,Fillers3/mono/STE-014_mono.wav,filler3_APN_терористка__A,3
,,filler3,APAdvAN,съдия,m,sg,f,pl,В затвора бяха изпратени,,осъдените от много строгия съдия,терористка,терористки,терористки,,B,В затвора бяха изпратени осъдените от много строгия съдия,терористка,Fillers3,STE-015_mono.wav,,Fillers3/mono/STE-015_mono.wav,filler3_APAdvAN_терористка__B,5
,,filler3,A,учител,m,sg,f,pl,В учителската стая се обсъждаха,,коригираните,работа,работи,работи,,B,В учителската стая се обсъждаха коригираните,работа,Fillers3,STE-016_mono.wav,,Fillers3/mono/STE-016_mono.wav,filler3_A_работа__B,1
,,filler3,APN,учител,m,sg,f,pl,В учителската стая се обсъждаха,,коригираните от учителя,работа,работи,работи,,C,В учителската стая се обсъждаха коригираните от учителя,работа,Fillers3,STE-017_mono.wav,,Fillers3/mono/STE-017_mono.wav,filler3_APN_работа__C,3
,,filler3,APAdvAN,учител,m,sg,f,pl,В учителската стая се обсъждаха,,коригираните от много добрия учител,работа,работи,работи,,A,В учителската стая се обсъждаха коригираните от много добрия учител,работа,Fillers3,STE-018_mono.wav,,Fillers3/mono/STE-018_mono.wav,filler3_APAdvAN_работа__A,5
,,filler3,A,селянин,m,sg,f,pl,В продължение на километри се простираха,,изораните,нива,ниви,ниви,,A,В продължение на километри се простираха изораните,нива,Fillers3,STE-019_mono.wav,,Fillers3/mono/STE-019_mono.wav,filler3_A_нива__A,1
,,filler3,APN,селянин,m,sg,f,pl,В продължение на километри се простираха,,изораните от селянина,нива,ниви,ниви,,B,В продължение на километри се простираха изораните от селянина,нива,Fillers3,STE-020_mono.wav,,Fillers3/mono/STE-020_mono.wav,filler3_APN_нива__B,3
,,filler3,APAdvAN,селянин,m,sg,f,pl,В продължение на километри се простираха,,изораните от много възрастния селянин,нива,ниви,ниви,,C,В продължение на километри се простираха изораните от много възрастния селянин,нива,Fillers3,STE-021_mono.wav,,Fillers3/mono/STE-021_mono.wav,filler3_APAdvAN_нива__C,5
,,filler3,A,народ,m,sg,f,pl,В селото се спазваха,,характерните,традиция,традиции,традиции,,C,В селото се спазваха характерните,традиция,Fillers3,STE-022_mono.wav,,Fillers3/mono/STE-022_mono.wav,filler3_A_традиция__C,1
,,filler3,APN,народ,m,sg,f,pl,В селото се спазваха,,характерните за народа,традиция,традиции,традиции,,A,В селото се спазваха характерните за народа,традиция,Fillers3,STE-023_mono.wav,,Fillers3/mono/STE-023_mono.wav,filler3_APN_традиция__A,3
,,filler3,APAdvAN,народ,m,sg,f,pl,В селото се спазваха,,характерните за много древния народ,традиция,традиции,традиции,,B,В селото се спазваха характерните за много древния народ,традиция,Fillers3,STE-024_mono.wav,,Fillers3/mono/STE-024_mono.wav,filler3_APAdvAN_традиция__B,5
,,filler3,A,стопанин,m,sg,f,pl,На ливадата пасяха,,обичаните,крава,крави,крави,,B,На ливадата пасяха обичаните,крава,Fillers3,STE-025_mono.wav,,Fillers3/mono/STE-025_mono.wav,filler3_A_крава__B,1
,,filler3,APN,стопанин,m,sg,f,pl,На ливадата пасяха,,обичаните от стопанина,крава,крави,крави,,C,На ливадата пасяха обичаните от стопанина,крава,Fillers3,STE-026_mono.wav,,Fillers3/mono/STE-026_mono.wav,filler3_APN_крава__C,3
,,filler3,APAdvAN,стопанин,m,sg,f,pl,На ливадата пасяха,,обичаните от много милия стопанин,крава,крави,крави,,A,На ливадата пасяха обичаните от много милия стопанин,крава,Fillers3,STE-027_mono.wav,,Fillers3/mono/STE-027_mono.wav,filler3_APAdvAN_крава__A,5
,,filler3,A,регион,m,sg,f,pl,В махалата болните лекуваха,,известните,докторка,докторки,докторки,,A,В махалата болните лекуваха известните,докторка,Fillers3,STE-028_mono.wav,,Fillers3/mono/STE-028_mono.wav,filler3_A_докторка__A,1
,,filler3,APN,регион,m,sg,f,pl,В махалата болните лекуваха,,известните в региона,докторка,докторки,докторки,,B,В махалата болните лекуваха известните в региона,докторка,Fillers3,STE-029_mono.wav,,Fillers3/mono/STE-029_mono.wav,filler3_APN_докторка__B,3
,,filler3,APAdvAN,регион,m,sg,f,pl,В махалата болните лекуваха,,известните в много големия регион,докторка,докторки,докторки,,C,В махалата болните лекуваха известните в много големия регион,докторка,Fillers3,STE-030_mono.wav,,Fillers3/mono/STE-030_mono.wav,filler3_APAdvAN_докторка__C,5
,,filler3,A,моряк,m,sg,f,pl,На небето светеха,,впечатляващите,звезда,звезди,звезди,,C,На небето светеха впечатляващите,звезда,Fillers3,STE-031_mono.wav,,Fillers3/mono/STE-031_mono.wav,filler3_A_звезда__C,1
,,filler3,APN,моряк,m,sg,f,pl,На небето светеха,,впечатляващите моряка,звезда,звезди,звезди,,A,На небето светеха впечатляващите моряка,звезда,Fillers3,STE-032_mono.wav,,Fillers3/mono/STE-032_mono.wav,filler3_APN_звезда__A,2
,,filler3,APAdvAN,моряк,m,sg,f,pl,На небето светеха,,впечатляващите много стария моряк,звезда,звезди,звезди,,B,На небето светеха впечатляващите много стария моряк,звезда,Fillers3,STE-033_mono.wav,,Fillers3/mono/STE-033_mono.wav,filler3_APAdvAN_звезда__B,4
,,filler3,A,вълк,m,sg,f,pl,В болницата чакаха,,ранените,пациентка,пациентки,пациентки,,B,В болницата чакаха ранените,пациентка,Fillers3,STE-034_mono.wav,,Fillers3/mono/STE-034_mono.wav,filler3_A_пациентка__B,1
,,filler3,APN,вълк,m,sg,f,pl,В болницата чакаха,,ранените от вълка,пациентка,пациентки,пациентки,,C,В болницата чакаха ранените от вълка,пациентка,Fillers3,STE-035_mono.wav,,Fillers3/mono/STE-035_mono.wav,filler3_APN_пациентка__C,3
,,filler3,APAdvAN,вълк,m,sg,f,pl,В болницата чакаха,,ранените от много агресивния вълк,пациентка,пациентки,пациентки,,A,В болницата чакаха ранените от много агресивния вълк,пациентка,Fillers3,STE-036_mono.wav,,Fillers3/mono/STE-036_mono.wav,filler3_APAdvAN_пациентка__A,5
,,filler3,A,лято,n,sg,f,pl,Миналия месец рухнаха,,напуканите,скала,скали,скали,,A,Миналия месец рухнаха напуканите,скала,Fillers3,STE-037_mono.wav,,Fillers3/mono/STE-037_mono.wav,filler3_A_скала__A,1
,,filler3,APN,лято,n,sg,f,pl,Миналия месец рухнаха,,напуканите през лятото,скала,скали,скали,,B,Миналия месец рухнаха напуканите през лятото,скала,Fillers3,STE-038_mono.wav,,Fillers3/mono/STE-038_mono.wav,filler3_APN_скала__B,3
,,filler3,APAdvAN,лято,n,sg,f,pl,Миналия месец рухнаха,,напуканите през много горещото лято,скала,скали,скали,,C,Миналия месец рухнаха напуканите през много горещото лято,скала,Fillers3,STE-039_mono.wav,,Fillers3/mono/STE-039_mono.wav,filler3_APAdvAN_скала__C,5
,,filler3,A,старание,n,sg,f,pl,Онази нощ децата радваха,,надписаните,картичка,картички,картички,,C,Онази нощ децата радваха надписаните,картичка,Fillers3,STE-040_mono.wav,,Fillers3/mono/STE-040_mono.wav,filler3_A_картичка__C,1
,,filler3,APN,старание,n,sg,f,pl,Онази нощ децата радваха,,надписаните със старание,картичка,картички,картички,,A,Онази нощ децата радваха надписаните със старание,картичка,Fillers3,STE-041_mono.wav,,Fillers3/mono/STE-041_mono.wav,filler3_APN_картичка__A,3
,,filler3,APAdvAN,старание,n,sg,f,pl,Онази нощ децата радваха,,надписаните с много голямо старание,картичка,картички,картички,,B,Онази нощ децата радваха надписаните с много голямо старание,картичка,Fillers3,STE-042_mono.wav,,Fillers3/mono/STE-042_mono.wav,filler3_APAdvAN_картичка__B,5
,,filler3,A,гърне,n,sg,f,pl,На сутринта се разсипаха,,налетите,течност,течности,течности,,B,На сутринта се разсипаха налетите,течност,Fillers3,STE-043_mono.wav,,Fillers3/mono/STE-043_mono.wav,filler3_A_течност__B,1
,,filler3,APN,гърне,n,sg,f,pl,На сутринта се разсипаха,,налетите в гърнето,течност,течности,течности,,C,На сутринта се разсипаха налетите в гърнето,течност,Fillers3,STE-044_mono.wav,,Fillers3/mono/STE-044_mono.wav,filler3_APN_течност__C,3
,,filler3,APAdvAN,гърне,n,sg,f,pl,На сутринта се разсипаха,,налетите в много голямото гърне,течност,течности,течности,,A,На сутринта се разсипаха налетите в много голямото гърне,течност,Fillers3,STE-045_mono.wav,,Fillers3/mono/STE-045_mono.wav,filler3_APAdvAN_течност__A,5
,,filler3,A,приключение,n,sg,f,pl,В манастира се укриваха,,избягалите,мисионерка,мисионерки,мисионерки,,A,В манастира се укриваха избягалите,мисионерка,Fillers3,STE-046_mono.wav,,Fillers3/mono/STE-046_mono.wav,filler3_A_мисионерка__A,1
,,filler3,APN,приключение,n,sg,f,pl,В манастира се укриваха,,избягалите след приключението,мисионерка,мисионерки,мисионерки,,B,В манастира се укриваха избягалите след приключението,мисионерка,Fillers3,STE-047_mono.wav,,Fillers3/mono/STE-047_mono.wav,filler3_APN_мисионерка__B,3
,,filler3,APAdvAN,приключение,n,sg,f,pl,В манастира се укриваха,,избягалите след много опасното приключение,мисионерка,мисионерки,мисионерки,,C,В манастира се укриваха избягалите след много опасното приключение,мисионерка,Fillers3,STE-048_mono.wav,,Fillers3/mono/STE-048_mono.wav,filler3_APAdvAN_мисионерка__C,5
,,filler3,A,клонче,n,sg,f,pl,На земята паднаха,,висящите,джанка,джанки,джанки,,C,На земята паднаха висящите,джанка,Fillers3,STE-049_mono.wav,,Fillers3/mono/STE-049_mono.wav,filler3_A_джанка__C,1
,,filler3,APN,клонче,n,sg,f,pl,На земята паднаха,,висящите на клончето,джанка,джанки,джанки,,A,На земята паднаха висящите на клончето,джанка,Fillers3,STE-050_mono.wav,,Fillers3/mono/STE-050_mono.wav,filler3_APN_джанка__A,3
,,filler3,APAdvAN,клонче,n,sg,f,pl,На земята паднаха,,висящите на много тънкото клонче,джанка,джанки,джанки,,B,На земята паднаха висящите на много тънкото клонче,джанка,Fillers3,STE-051_mono.wav,,Fillers3/mono/STE-051_mono.wav,filler3_APAdvAN_джанка__B,5
,,filler3,A,безсъние,n,sg,f,pl,Върху проблема работеха,,изморените,специалистка,специалистки,специалистки,,B,Върху проблема работеха изморените,специалистка,Fillers3,STE-052_mono.wav,,Fillers3/mono/STE-052_mono.wav,filler3_A_специалистка__B,1
,,filler3,APN,безсъние,n,sg,f,pl,Върху проблема работеха,,изморените след безсъние,специалистка,специалистки,специалистки,,C,Върху проблема работеха изморените след безсъние,специалистка,Fillers3,STE-053_mono.wav,,Fillers3/mono/STE-053_mono.wav,filler3_APN_специалистка__C,3
,,filler3,APAdvAN,безсъние,n,sg,f,pl,Върху проблема работеха,,изморените след много дълго безсъние,специалистка,специалистки,специалистки,,A,Върху проблема работеха изморените след много дълго безсъние,специалистка,Fillers3,STE-054_mono.wav,,Fillers3/mono/STE-054_mono.wav,filler3_APAdvAN_специалистка__A,5
,,filler3,A,бягане,n,sg,f,pl,Състезанието спечелиха,,изтощените,спринтьорка,спринтьорки,спринтьорки,,A,Състезанието спечелиха изтощените,спринтьорка,Fillers3,STE-055_mono.wav,,Fillers3/mono/STE-055_mono.wav,filler3_A_спринтьорка__A,1
,,filler3,APN,бягане,n,sg,f,pl,Състезанието спечелиха,,изтощените след бягането,спринтьорка,спринтьорки,спринтьорки,,B,Състезанието спечелиха изтощените след бягането,спринтьорка,Fillers3,STE-056_mono.wav,,Fillers3/mono/STE-056_mono.wav,filler3_APN_спринтьорка__B,3
,,filler3,APAdvAN,бягане,n,sg,f,pl,Състезанието спечелиха,,изтощените след много дългото бягане,спринтьорка,спринтьорки,спринтьорки,,C,Състезанието спечелиха изтощените след много дългото бягане,спринтьорка,Fillers3,STE-057_mono.wav,,Fillers3/mono/STE-057_mono.wav,filler3_APAdvAN_спринтьорка__C,5
,,filler3,A,боледуване,n,sg,f,pl,В къщата кръвното си мереха,,отслабналите,госпожа,госпожи,госпожи,,C,В къщата кръвното си мереха отслабналите,госпожа,Fillers3,STE-058_mono.wav,,Fillers3/mono/STE-058_mono.wav,filler3_A_госпожа__C,1
,,filler3,APN,боледуване,n,sg,f,pl,В къщата кръвното си мереха,,отслабналите след боледуването,госпожа,госпожи,госпожи,,A,В къщата кръвното си мереха отслабналите след боледуването,госпожа,Fillers3,STE-059_mono.wav,,Fillers3/mono/STE-059_mono.wav,filler3_APN_госпожа__A,3
,,filler3,APAdvAN,боледуване,n,sg,f,pl,В къщата кръвното си мереха,,отслабналите след много тежкото боледуване,госпожа,госпожи,госпожи,,B,В къщата кръвното си мереха отслабналите след много тежкото боледуване,госпожа,Fillers3,STE-060_mono.wav,,Fillers3/mono/STE-060_mono.wav,filler3_APAdvAN_госпожа__B,5
,,filler3,A,чукче,n,sg,f,pl,Снощи се смениха,,счупените,част,части,части,,B,Снощи се смениха счупените,част,Fillers3,STE-061_mono.wav,,Fillers3/mono/STE-061_mono.wav,filler3_A_част__B,1
,,filler3,APN,чукче,n,sg,f,pl,Снощи се смениха,,счупените с чукчето,част,части,части,,C,Снощи се смениха счупените с чукчето,част,Fillers3,STE-062_mono.wav,,Fillers3/mono/STE-062_mono.wav,filler3_APN_част__C,3
,,filler3,APAdvAN,чукче,n,sg,f,pl,Снощи се смениха,,счупената с много здравото чукче,част,части,части,,A,Снощи се смениха счупената с много здравото чукче,част,Fillers3,STE-063_mono.wav,,Fillers3/mono/STE-063_mono.wav,filler3_APAdvAN_част__A,5
,,filler3,A,хълмче,n,sg,f,pl,През пролетта се раззелениха,,скритите,поляна,поляни,поляни,,A,През пролетта се раззелениха скритите,поляна,Fillers3,STE-064_mono.wav,,Fillers3/mono/STE-064_mono.wav,filler3_A_поляна__A,1
,,filler3,APN,хълмче,n,sg,f,pl,През пролетта се раззелениха,,скритите зад хълмчето,поляна,поляни,поляни,,B,През пролетта се раззелениха скритите зад хълмчето,поляна,Fillers3,STE-065_mono.wav,,Fillers3/mono/STE-065_mono.wav,filler3_APN_поляна__B,3
,,filler3,APAdvAN,хълмче,n,sg,f,pl,През пролетта се раззелениха,,скритите зад много ниското хълмче,поляна,поляни,поляни,,C,През пролетта се раззелениха скритите зад много ниското хълмче,поляна,Fillers3,STE-066_mono.wav,,Fillers3/mono/STE-066_mono.wav,filler3_APAdvAN_поляна__C,5
,,filler3,A,изкачване,n,sg,f,pl,В хижата се настаниха,,измръзналите,алпинистка,алпинистки,алпинистки,,C,В хижата се настаниха измръзналите,алпинистка,Fillers3,STE-067_mono.wav,,Fillers3/mono/STE-067_mono.wav,filler3_A_алпинистка__C,1
,,filler3,APN,изкачване,n,sg,f,pl,В хижата се настаниха,,измръзналите след изкачването,алпинистка,алпинистки,алпинистки,,A,В хижата се настаниха измръзналите след изкачването,алпинистка,Fillers3,STE-068_mono.wav,,Fillers3/mono/STE-068_mono.wav,filler3_APN_алпинистка__A,3
,,filler3,APAdvAN,изкачване,n,sg,f,pl,В хижата се настаниха,,измръзналите след много трудното изкачване,алпинистка,алпинистки,алпинистки,,B,В хижата се настаниха измръзналите след много трудното изкачване,алпинистка,Fillers3,STE-069_mono.wav,,Fillers3/mono/STE-069_mono.wav,filler3_APAdvAN_алпинистка__B,5
,,filler3,A,мастило,n,sg,f,pl,На листа трудно се четяха,,написаните,дума,думи,думи,,B,На листа трудно се четяха написаните,дума,Fillers3,STE-070_mono.wav,,Fillers3/mono/STE-070_mono.wav,filler3_A_дума__B,1
,,filler3,APN,мастило,n,sg,f,pl,На листа трудно се четяха,,написаните с мастило,дума,думи,думи,,C,На листа трудно се четяха написаните с мастило,дума,Fillers3,STE-071_mono.wav,,Fillers3/mono/STE-071_mono.wav,filler3_APN_дума__C,3
,,filler3,APAdvAN,мастило,n,sg,f,pl,На листа трудно се четяха,,написаните с много вредно мастило,дума,думи,думи,,A,На листа трудно се четяха написаните с много вредно мастило,дума,Fillers3,STE-072_mono.wav,,Fillers3/mono/STE-072_mono.wav,filler3_APAdvAN_дума__A,5
